Full Name,Department,Job Title,Hiring day
Maximoff Barry Timofeyevna,Army,Archer,22/02/2017
Danvers Felicity Nataliaevna,S.H.I.E.L.D.,Reporter,09/07/2020
Todd Carol Andreevna,Palmer Technologies,Reporter,01/03/2019
Zor-El Felicity Vladimirovna,Rand Enterprises,Archer,12/12/2021
Bishop Mary Nikolaevna,League of Assassins,Reporter,07/01/2024
Lane Wanda Vladislavovna,Fantastic Four,Private Investigator,07/05/2018
Wayne Steve Leonidovna,S.H.I.E.L.D.,IT Specialist,13/05/2017
Cain Lois Olegovna,Fantastic Four,Reporter,30/12/2016
Reilly Bruce Petrovna,Alias Investigations,Photographer,03/01/2022
Osborn Clark Stanislavovna,League of Assassins,Model,26/12/2019
Gale Kate Vladimirovna,Wayne Enterprises,CEO,17/04/2019
White Wade Elenaevna,Queen Industries,Photographer,03/12/2016
Carter Clark Olegovna,Wayne Enterprises,Soldier,15/01/2024
Todd Clark Sergeevna,Army,Agent,05/12/2017
Carter David Yevgenievna,Queen Industries,Model,24/12/2016
Gale Rey Vladislavovna,Palmer Technologies,Archer,10/10/2023
Murdock Felicity Fedorovna,CatCo Worldwide Media,Private Investigator,01/08/2018
Cain Peter Svetlanaevna,Oscorp Industries,Photographer,28/04/2021
Cho Tony Mikhailovna,Stark Industries,Lawyer,14/03/2017
Wayne Felicity Borisovna,CatCo Worldwide Media,Photographer,21/11/2020
Wayne Steve Vsevolodovna,Central City Police Department,IT Specialist,10/05/2019
Wayne Ben Artemovna,Alias Investigations,Air Force Pilot,23/07/2019
Osborn Barry Nikolaevna,Alias Investigations,CEO,23/05/2023
Zor-El Norman Vasilievna,Wayne Enterprises,Private Investigator,22/11/2018
Rogers Carol Yurievna,Army,Soldier,07/12/2023
Parker Wanda Dariaevna,Gamma Research,Archer,27/04/2020
White Lois Nikolayevna,Daily Planet,Spy,21/01/2020
Cain Kate Alexandrovna,CatCo Worldwide Media,Scientist,30/09/2021
Kent Carol Vsevolodovna,Queen Industries,Model,13/09/2023
Rand Susan Vladislavovna,Central City Police Department,Scientist,25/09/2020
Zor-El Daniel Sidorovna,Stark Industries,Journalist,04/03/2022
Rand David Fedorovna,Rand Enterprises,Scientist,18/01/2017
Wilson Grace Tatianaevna,Alias Investigations,Archer,13/07/2019
Smoak Dorothy Olgaevna,Army,Photographer,07/10/2021
Zor-El Kate Nataliaevna,Gamma Research,Reporter,02/07/2018
Lane Matt Stanislavovna,League of Assassins,Spy,08/06/2020
Cain Norman Gennadievna,CatCo Worldwide Media,Archer,11/07/2017
Gale Jason Artemovna,Rand Enterprises,Scientist,17/08/2019
