Full Name,Department,Job Title,Hiring day
Osborn Barry Nikolaevna,alias investigations,ceo,23/5/2023
Rand Tony Svetlanaevna,alias investigations,lawyer,30/12/2022
Reilly Bruce Petrovna,alias investigations,photographer,3/1/2022
Reilly Rey Gennadievna,alias investigations,archer,31/1/2018
Smoak Daniel Nataliaevna,alias investigations,lawyer,5/8/2019
Wayne Ben Artemovna,alias investigations,air force pilot,23/7/2019
Wayne Carol Sergeevna,alias investigations,private investigator,19/4/2017
Wilson Grace Tatianaevna,alias investigations,archer,13/7/2019
Lane Mary Romanovna,army,ceo,27/4/2023
Maximoff Barry Timofeyevna,army,archer,22/2/2017
Reilly Natasha Olgaevna,army,lawyer,10/10/2023
Rogers Carol Yurievna,army,soldier,7/12/2023
Smoak Dorothy Olgaevna,army,photographer,7/10/2021
Todd Clark Sergeevna,army,agent,5/12/2017
Cain Kate Alexandrovna,catco worldwide media,scientist,30/9/2021
Cain Norman Gennadievna,catco worldwide media,archer,11/7/2017
Murdock Felicity Fedorovna,catco worldwide media,private investigator,1/8/2018
Osborn Walter Dariaevna,catco worldwide media,spy,16/4/2018
Watson Jessica Yurievna,catco worldwide media,agent,5/5/2023
Wayne Felicity Borisovna,catco worldwide media,photographer,21/11/2020
Wilson David Petrovna,catco worldwide media,spy,13/2/2018
Wilson Natasha Yurievna,catco worldwide media,ceo,21/2/2022
Carter Dorothy Irinaevna,central city police department,agent,1/11/2019
Lane Ben Viktorovna,central city police department,photographer,9/7/2022
Rand Susan Vladislavovna,central city police department,scientist,25/9/2020
Romanoff Felicity Maryevna,central city police department,it specialist,23/5/2019
Stark Kate Igorevna,central city police department,it specialist,8/2/2022
Storm Oliver Veniaminovna,central city police department,spy,12/11/2018
Storm Walter Veniaminovna,central city police department,photographer,23/5/2021
Watson Peggy Nikolaevna,central city police department,private investigator,25/10/2022
Wayne Steve Vsevolodovna,central city police department,it specialist,10/5/2019
White Peggy Alexandrovna,central city police department,scientist,23/3/2019
Cain Ben Alexandrovna,daily planet,lawyer,23/7/2024
Carter Ben Maryevna,daily planet,it specialist,9/11/2019
Danvers Kara Annaevna,daily planet,model,18/4/2021
Maximoff Felicity Mikhailovna,daily planet,reporter,15/1/2018
White Lois Nikolayevna,daily planet,spy,21/1/2020
Cain Lois Olegovna,fantastic four,reporter,30/12/2016
Danvers Peggy Yakovlevna,fantastic four,scientist,27/7/2022
Jones Kara Timofeyevna,fantastic four,model,20/3/2021
Lane Wanda Vladislavovna,fantastic four,private investigator,7/5/2018
Murdock Clark Elenaevna,fantastic four,agent,30/7/2024
Murdock Peggy Petrovna,fantastic four,scientist,4/6/2024
Cho Wanda Tatianaevna,gamma research,reporter,3/8/2022
Kent Peggy Yurievna,gamma research,air force pilot,20/8/2016
Palpatine Matt Andreevna,gamma research,journalist,2/6/2018
Parker Wanda Dariaevna,gamma research,archer,27/4/2020
Watson David Romanovna,gamma research,agent,3/4/2019
Wayne Barry Olgaevna,gamma research,reporter,24/4/2023
Zor-el Kate Nataliaevna,gamma research,reporter,2/7/2018
Bishop Mary Nikolaevna,league of assassins,reporter,7/1/2024
Carter Daniel Nikolayevna,league of assassins,lawyer,1/11/2021
Danvers Clark Yurievna,league of assassins,reporter,20/11/2021
Danvers Oliver Veniaminovna,league of assassins,model,8/6/2021
Kent Rey Sergeevna,league of assassins,spy,22/10/2021
Lane Matt Stanislavovna,league of assassins,spy,8/6/2020
Osborn Clark Stanislavovna,league of assassins,model,26/12/2019
Watson Kara Elenaevna,league of assassins,reporter,5/6/2024
Jones Barry Annaevna,nasa,private investigator,15/9/2016
Romanoff Peter Vsevolodovna,nasa,journalist,2/6/2022
Watson Tony Artemovna,nasa,private investigator,2/3/2024
Cain Peter Svetlanaevna,oscorp industries,photographer,28/4/2021
Parker Oliver Vladimirovna,oscorp industries,private investigator,18/9/2023
Bishop Kara Timofeyevna,palmer technologies,it specialist,28/9/2022
Gale Rey Vladislavovna,palmer technologies,archer,10/10/2023
Rand Kate Yevgenievna,palmer technologies,archer,19/6/2019
Todd Carol Andreevna,palmer technologies,reporter,1/3/2019
White Walter Vasilievna,palmer technologies,journalist,10/12/2016
Carter David Yevgenievna,queen industries,model,24/12/2016
Cho Oliver Romanovna,queen industries,lawyer,14/9/2020
Danvers Ben Vasilievna,queen industries,it specialist,19/7/2022
Kent Carol Vsevolodovna,queen industries,model,13/9/2023
Parker Steve Timofeyevna,queen industries,archer,11/10/2017
Queen Walter Valeryevna,queen industries,it specialist,24/8/2016
Wayne Susan Svetlanaevna,queen industries,private investigator,18/6/2017
White Wade Elenaevna,queen industries,photographer,3/12/2016
Wilson Grace Olegovna,queen industries,soldier,12/6/2021
Zor-el Daniel Vsevolodovna,queen industries,scientist,20/4/2020
Danvers Carol Borisovna,rand enterprises,photographer,2/8/2020
Gale Jason Artemovna,rand enterprises,scientist,17/8/2019
Gale Wade Stanislavovna,rand enterprises,archer,16/9/2018
Rand David Fedorovna,rand enterprises,scientist,18/1/2017
Zor-el Felicity Vladimirovna,rand enterprises,archer,12/12/2021
Danvers Felicity Nataliaevna,s.h.i.e.l.d.,reporter,9/7/2020
Danvers Susan Borisovna,s.h.i.e.l.d.,agent,27/4/2022
Parker Felicity Tatianaevna,s.h.i.e.l.d.,archer,6/12/2017
Wayne Steve Leonidovna,s.h.i.e.l.d.,it specialist,13/5/2017
Bishop Natasha Nataliaevna,ssr,reporter,27/2/2022
Lane Carol Timofeyevna,ssr,archer,25/1/2022
Rogers Susan Nataliaevna,ssr,lawyer,5/9/2017
Wilson Steve Ivanovna,ssr,archer,20/1/2024
Cho Tony Mikhailovna,stark industries,lawyer,14/3/2017
Reilly Bruce Yevgenievna,stark industries,private investigator,14/9/2022
White Walter Stanislavovna,stark industries,ceo,19/9/2018
Zor-el Daniel Sidorovna,stark industries,journalist,4/3/2022
Carter Clark Olegovna,wayne enterprises,soldier,15/1/2024
Carter Wanda Dariaevna,wayne enterprises,ceo,7/2/2018
Gale Kate Vladimirovna,wayne enterprises,ceo,17/4/2019
Rogers Daniel Yakovlevna,wayne enterprises,model,4/11/2017
Zor-el Norman Vasilievna,wayne enterprises,private investigator,22/11/2018
